majority_voting,Control,MAS,Difference (MAS - Control)
Classical monocytes,4.157903251900987,15.551768214742223,11.393864962841235
Non-classical monocytes,1.0030739362562693,7.385314585996307,6.382240649740037
Regulatory T cells,1.9171655071994822,7.640960090896179,5.723794583696697
CD16+ NK cells,7.701019252548131,10.509870756994745,2.808851504446614
Age-associated B cells,0.12133958906325837,1.8321261184490838,1.7107865293858255
Plasma cells,0.20223264843876396,1.0651896037494673,0.8629569553107033
NK cells,0.7846626759424041,1.6474932537991764,0.8628305778567723
Megakaryocytes/platelets,0.12133958906325837,0.8947592671495527,0.7734196780862943
B cells,1.0516097718815727,1.8037210623490982,0.7521112904675256
Late erythroid,0.016178611875101116,0.710126402499645,0.6939477906245438
CD8a/a,1.229574502507685,1.5196705013492402,0.29009599884155524
pDC,0.14560750687591004,0.24144297684987928,0.09583546997396925
DC2,0.04044652968775279,0.0568101121999716,0.01636358251221881
Memory B cells,2.248827050639055,2.243999431898878,-0.004827618740177009
Tem/Effector helper T cells,4.538100630965864,3.564834540548217,-0.9732660904176464
Naive B cells,8.590842905678693,6.41954267859679,-2.171300227081903
Tem/Trm cytotoxic T cells,3.1305613978320657,0.8947592671495527,-2.235802130682513
MAIT cells,3.9233133797120208,0.14202528049992896,-3.781288099212092
Tem/Temra cytotoxic T cells,17.125060669794532,10.33944042039483,-6.785620249399702
Tcm/Naive cytotoxic T cells,13.792266623523702,6.874023576196563,-6.918243047327139
Tcm/Naive helper T cells,28.15887396861349,18.662121857690668,-9.496752110922824
